fdc_id,description,carbs_g,calories,protein_g,fat_g
319877,Hummus,,,,19.0
319882,Hummus,,,,18.7
319892,Hummus,,,,16.6
319899,Hummus,,,,19.1
319908,Hummus,,,,18.2
319928,Hummus,,,,18.0
319946,Hummus,,,,18.2
319967,Hummus,,,,14.8
319981,Hummus,,,,11.9
319993,Hummus,,,,15.2
320013,Hummus,,,,18.8
320027,"MILK, 2% ",,,,1.8
320033,"MILK, 2% ",,,,1.91
320039,"MILK, 2% ",,,,1.92
320047,"MILK, 2% ",,,,1.92
320066,"MILK, 2% ",,,,1.91
320089,"MILK, 2% ",,,,1.97
320108,"MILK, 2% ",,,,1.87
320128,"MILK, 2% ",,,,1.85
320147,"MILK, 2% ",,,,2.06
320167,"MILK, 2% ",,,,1.9
320174,"MILK, 2% ",,,,1.9
320181,"MILK, 2% ",,,,1.97
320187,"MILK, 2% ",,,,1.96
320193,"MILK, 2% ",,,,1.87
320199,"MILK, 2% ",,,,1.92
320205,"MILK, 2% ",,,,1.81
320214,"MILK, 2% ",,,,1.68
320234,"MILK, 2% ",,,,1.87
320257,"MILK, 2% ",,,,1.81
320279,"MILK, 2% ",,,,1.93
320300,"MILK, 2% ",,,,1.97
320309,"MILK, 2% ",,,,1.94
320317,"MILK, 2% ",,,,1.92
320336,"MILK, 2% ",,,,1.97
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",,,23.4,3.46
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",,,23.9,1.91
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",,,23.5,2.81
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",,,23.8,2.07
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",,,23.8,3.3
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",,,24.0,2.24
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",,,23.9,3.01
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",,,23.3,3.45
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",,,22.9,1.98
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",,,23.3,2.27
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",,,22.7,1.47
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",,,22.6,1.74
320448,"TOMATOES, GRAPE",,,,0.7
320456,"TOMATOES, GRAPE",,,,0.6
320465,"TOMATOES, GRAPE",,,,0.5
320483,"TOMATOES, GRAPE",,,,0.46
320502,"TOMATOES, GRAPE",,,,0.82
320517,"TOMATOES, GRAPE",,,,0.69
321358,"Hummus, commercial",14.9,594.5,7.35,17.1
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",4.91,129.5,3.35,1.9
321360,"Tomatoes, grape, raw",5.51,70.0,0.83,0.63
321511,"Beans, snap, canned, drained - NFY1211Z9",,,,0.43
321520,"Beans, snap, canned, drained - NFY1211ZM",,,,0.38
321526,"Beans, snap, canned, drained - NFY1211Z2",,,,0.43
321536,"Beans, snap, canned, drained - NFY1211YP",,,,0.3
321546,"Beans, snap, canned, drained - NFY1211YW",,,,0.43
321555,"Beans, snap, canned, drained - NFY1211ZF",,,,0.38
321565,"Beans, snap, canned, drained - NFY1211ZZ",,,,0.35
321571,"Beans, snap, canned, drained - NFY12120I",,,,0.38
321581,"Beans, snap, canned, drained - NFY12120C",,,,0.47
321590,"Beans, snap, canned, drained - NFY12120P",,,,0.41
321599,"Beans, snap, canned, drained - NFY121205",,,,0.39
321609,"Beans, snap, canned, drained - NFY1211ZS",,,,0.37
321611,"Beans, snap, green, canned, regular pack, drained solids",4.11,53.5,1.04,0.39
321660,"Broccoli, Region 1, n/a, Yes, Proximates - NFY01047M",,,,0.38
321673,"Broccoli, Region 1, n/a, Yes, Proximates - NFY01048F",,,,0.41
321682,"Broccoli, Pass 2, Region 1, n/a, Yes, Proximates - NFY010CUE",,,,0.37
321706,"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104BP",,,,0.36
321709,"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104AU",,,,0.22
321731,"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104BX",,,,0.3
321745,"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104CS",,,,0.42
321747,"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104CY",,,,0.52
321748,"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104DY",,,,0.47
321775,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01048K",,,,0.34
321790,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01049F",,,,0.3
321793,"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY01049N",,,,0.29
321809,"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY0104AN",,,,0.45
321817,"Broccoli, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D7D",,,,0.31
321831,"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D8W",,,,0.43
321862,"Broccoli, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CV8",,,,0.23
321865,"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CW4",,,,0.35
321889,"Broccoli, Pass 2, Region 3, n/a, Yes, Proximates - NFY010D84",,,,0.41
321900,"Broccoli, raw",6.29,82.0,2.57,0.34
321903,"MILK, 1%",,,,1.07
321909,"MILK, 1%",,,,1.02
321915,"MILK, 1%",,,,0.92
321924,"MILK, 1%",,,,0.93
321944,"MILK, 1%",,,,0.94
321963,"MILK, 1%",,,,1.19
321982,"MILK, 1%",,,,0.92
322005,"MILK, 1%",,,,1.0
322024,"MILK, SKIM ",,,,1.12
322035,"MILK, 1% ",,,,1.14
322045,"MILK, 1%",,,,0.94
322051,"MILK, 1%",,,,0.87
322057,"MILK, 1%",,,,0.72
322063,"MILK, 1%",,,,0.94
322069,"MILK, 1%",,,,0.98
322075,"MILK, 1%",,,,0.85
322081,"MILK, 1%",,,,0.92
322089,"MILK, 1%",,,,1.07
322109,"MILK, 1%",,,,0.87
322132,"MILK, 1%",,,,0.84
322154,"MILK, 1%",,,,0.89
322175,"MILK, 1%",,,,0.91
322184,"MILK, 1%",,,,0.96
322192,"MILK, 1%",,,,0.87
322211,"MILK, 1%",,,,1.01
322218,"MILK, 1%",,,,1.04
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",5.19,111.0,3.38,0.95
322231,"MILK, SKIM ",,,,0.06
322238,"MILK, SKIM ",,,,0.08
322245,"MILK, SKIM ",,,,0.03
322253,"MILK, SKIM ",,,,0.09
322272,"MILK, SKIM ",,,,0.07
322291,"MILK, SKIM ",,,,0.14
322310,"MILK, SKIM ",,,,0.07
322333,"MILK, SKIM ",,,,0.08
322353,"MILK, 1%",,,,0.07
322365,"MILK, SKIM ",,,,0.11
322375,"MILK, SKIM ",,,,0.05
322381,"MILK, SKIM ",,,,0.08
322384,"MILK, SKIM ",,,,0.11
322388,"MILK, SKIM ",,,,0.04
322394,"MILK, SKIM ",,,,0.1
322400,"MILK, SKIM ",,,,0.1
322406,"MILK, SKIM ",,,,0.1
322412,"MILK, SKIM ",,,,0.05
322420,"MILK, SKIM ",,,,0.08
322441,"MILK, SKIM ",,,,0.15
322452,"MILK, SKIM ",,,,0.06
322475,"MILK, SKIM ",,,,0.15
322482,"MILK, SKIM ",,,,0.18
322496,"MILK, SKIM ",,,,0.06
322516,"MILK, SKIM ",,,,0.06
322524,"MILK, SKIM ",,,,0.08
322543,"MILK, SKIM ",,,,0.06
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.89,88.5,3.43,0.08
322562,"MILK, WHOLE ",,,,3.34
322570,"MILK, WHOLE ",,,,3.15
322592,"MILK, WHOLE ",,,,3.22
322616,"MILK, WHOLE ",,,,3.03
322632,"MILK, WHOLE ",,,,3.21
322651,"MILK, WHOLE ",,,,3.18
322670,"MILK, WHOLE ",,,,3.19
322691,"MILK, WHOLE ",,,,3.13
322698,"MILK, WHOLE ",,,,3.2
322704,"MILK, WHOLE ",,,,3.25
322710,"MILK, WHOLE ",,,,3.28
322717,"MILK, WHOLE ",,,,3.41
322723,"MILK, WHOLE ",,,,3.2
322729,"MILK, WHOLE ",,,,3.21
322736,"MILK, WHOLE ",,,,3.3
322744,"MILK, WHOLE ",,,,2.58
322752,"MILK, WHOLE ",,,,2.59
322754,"MILK, WHOLE ",,,,2.59
322765,"MILK, WHOLE ",,,,3.24
322773,"MILK, WHOLE ",,,,3.22
322797,"MILK, WHOLE ",,,,3.34
322818,"MILK, WHOLE ",,,,3.24
322838,"MILK, WHOLE ",,,,3.21
322844,"MILK, WHOLE ",,,,3.21
322855,"MILK, WHOLE ",,,,3.29
322875,"MILK, WHOLE ",,,,3.2
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",4.67,156.0,3.28,3.2
322896,Hot dogs beef,,,,26.9
322906,Hot dogs beef,,,,27.3
322917,Hot dogs beef,,,,29.5
322932,Hot dogs beef,,,,27.8
322949,Hot dogs beef,,,,28.0
322962,Hot dogs beef,,,,30.6
322969,Hot dogs beef,,,,28.0
322985,Hot dogs beef,,,,27.2
323004,Hot dogs beef,,,,28.3
323021,Hot dogs beef,,,,30.0
